Method؛Job؛AnalyzeLaunchVariance؛EvaluateOverhead؛MaxAbsoluteError؛MaxRelativeError؛MinInvokeCount؛MinIterationTime؛OutlierMode؛Affinity؛EnvironmentVariables؛Jit؛LargeAddressAware؛Platform؛PowerPlanMode؛Runtime؛AllowVeryLargeObjects؛Concurrent؛CpuGroups؛Force؛HeapAffinitizeMask؛HeapCount؛NoAffinitize؛RetainVm؛Server؛Arguments؛BuildConfiguration؛Clock؛EngineFactory؛NuGetReferences؛Toolchain؛IsMutator؛InvocationCount؛IterationCount؛IterationTime؛LaunchCount؛MaxIterationCount؛MaxWarmupIterationCount؛MemoryRandomization؛MinIterationCount؛MinWarmupIterationCount؛RunStrategy؛UnrollFactor؛WarmupCount؛Mean؛Error؛StdDev؛Median؛Ratio؛RatioSD؛Gen0؛Allocated؛Alloc Ratio
CreateFrozenList؛DefaultJob؛False؛Default؛Default؛Default؛Default؛Default؛Default؛11111111؛Empty؛RyuJit؛Default؛X64؛8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c؛.NET 8.0؛False؛True؛False؛True؛Default؛Default؛False؛False؛False؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛16؛Default؛"24,950.8 ns"؛415.23 ns؛682.24 ns؛"24,744.7 ns"؛60.59؛5.00؛14.1602؛43.59 KB؛11.00
CreateList؛DefaultJob؛False؛Default؛Default؛Default؛Default؛Default؛Default؛11111111؛Empty؛RyuJit؛Default؛X64؛8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c؛.NET 8.0؛False؛True؛False؛True؛Default؛Default؛False؛False؛False؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛16؛Default؛412.4 ns؛9.95 ns؛29.18 ns؛400.3 ns؛1.00؛0.00؛1.2918؛3.96 KB؛1.00
CreateHashSet؛DefaultJob؛False؛Default؛Default؛Default؛Default؛Default؛Default؛11111111؛Empty؛RyuJit؛Default؛X64؛8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c؛.NET 8.0؛False؛True؛False؛True؛Default؛Default؛False؛False؛False؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛16؛Default؛"9,860.3 ns"؛175.85 ns؛330.30 ns؛"9,736.1 ns"؛23.76؛2.12؛5.6458؛17.38 KB؛4.39
CreateImmutableHashSet؛DefaultJob؛False؛Default؛Default؛Default؛Default؛Default؛Default؛11111111؛Empty؛RyuJit؛Default؛X64؛8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c؛.NET 8.0؛False؛True؛False؛True؛Default؛Default؛False؛False؛False؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛Default؛16؛Default؛"137,298.8 ns"؛987.41 ns؛824.53 ns؛"136,991.3 ns"؛347.28؛17.48؛17.8223؛54.77 KB؛13.83
